itag,logFC,logCPM,PValue,FDR,chromosome,begin,end,Human.readable.description,Subject.ID,Description,Score,E.Value,Identities
Solyc08g065220.2.1,-0.364033037,6.771931806,0.000270424,0.013821315,SL2.40ch08,50293331,50300381,Glycine dehydrogenase P protein (AHRD V1 **** Q6V9T1_ORYSJ); contains Interpro domain(s)  IPR003437  Glycine cleavage system P-protein ,AT4G33010.1 ,AtGLDP1 | AtGLDP1 (Arabidopsis thaliana glycine decarboxylase P-protein 1); catalytic/ glycine dehydrogenase (decarboxylating)/ pyridoxal phosphate binding | chr4:15926852-15931150 REVERSE, 1835 bits (4752),0, 884/1039 (85%)
Solyc11g021210.1.1,-0.566029408,6.156259338,0.000273833,0.013954142,SL2.40ch11,13387102,13388041,Cytochrome c biogenesis protein ccsA (AHRD V1 ***- CCSA_SOLLC); contains Interpro domain(s)  IPR017562  Cytochrome c-type biogenesis protein CcsA ,ATCG01040.1 ,YCF5 | hypothetical protein | chrC:114461-115447 FORWARD, 340 bits (872),7.00E-94, 192/332 (57%)
Solyc12g098680.1.1,0.533189384,6.665006259,0.000278887,0.014140992,SL2.40ch12,64446795,64452106,Eukaryotic translation initiation factor 3 subunit 3 (AHRD V1 ***- B6SHE0_MAIZE); contains Interpro domain(s)  IPR000555  Mov34/MPN/PAD-1 ,AT1G10840.1 ,TIF3H1 | TIF3H1; translation initiation factor | chr1:3607885-3610299 REVERSE, 586 bits (1510), e-168, 280/335 (83%)
Solyc12g042990.1.1,-0.416361603,6.527680546,0.000279142,0.014140992,SL2.40ch12,44032484,44041404,Glycine-rich protein-like (AHRD V1 *-*- Q5ZB64_ORYSJ); contains Interpro domain(s)  IPR018545  CASC3/Barentsz eIF4AIII binding ,AT1G80000.2 ,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: CASC3/Barentsz eIF4AIII binding (InterPro:IPR018545); BEST Arabidopsis thaliana protein match is: glycine-rich protein (TAIR:AT1G15280.2); Has 2243 Blast hits to 1704 proteins in 212 species: Archae - 16; Bacteria - 151; Metazoa - 691; Fungi - 281; Plants - 163; Viruses - 64; Other Eukaryotes - 877 (source: NCBI BLink). | chr1:30093195-30096742 FORWARD, 270 bits (689),3.00E-72, 254/681 (37%)
Solyc07g053700.2.1,0.537740762,5.221736177,0.00028132,0.014198105,SL2.40ch07,59455869,59458997,Reticulon-like protein B17 (AHRD V1 *-*- RTNLQ_ARATH); contains Interpro domain(s)  IPR003388  Reticulon ,AT2G20590.1 ,reticulon family protein | chr2:8867243-8869166 REVERSE, 357 bits (917),5.00E-99, 204/392 (52%)
Solyc01g073770.2.1,0.389007031,7.098330971,0.000281918,0.014198105,SL2.40ch01,70398109,70399192,PRLI-interacting factor A (AHRD V1 *-*- B6TGN5_MAIZE),AT5G19900.1 ,"PRLI-interacting factor, putative | chr5:6728561-6730045 REVERSE", 203 bits (517),9.00E-53, 117/201 (58%)
Solyc01g066760.2.1,-0.454144064,7.359541105,0.000283951,0.014258795,SL2.40ch01,67333622,67334165,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc01g098400.2.1,0.978115225,4.185156796,0.00028908,0.014474152,SL2.40ch01,80683099,80684846,"Histidine phosphotransfer protein (AHRD V1 **** B9I823_POPTR); contains Interpro domain(s)  IPR008207  Signal transduction histidine kinase, phosphotransfer (Hpt) region ",AT3G21510.1 ,AHP1 | AHP1 (HISTIDINE-CONTAINING PHOSPHOTRANSMITTER 1); histidine phosphotransfer kinase | chr3:7578432-7579537 REVERSE, 184 bits (467),2.00E-47, 97/146 (66%)
Solyc03g006360.2.1,0.869481892,5.0510361,0.000293657,0.014660717,SL2.40ch03,957564,959986,Auxin-repressed protein (AHRD V1 ***- Q6PXE1_9SOLN); contains Interpro domain(s)  IPR008406  Dormancyauxin associated ,AT1G28330.4 ,DYL1 (DORMANCY-ASSOCIATED PROTEIN-LIKE 1) | chr1:9934134-9935216 REVERSE, 140 bits (352),3.00E-34, 77/132 (58%)
Solyc04g073980.2.1,2.203668773,0.94205292,0.00029891,0.01487985,SL2.40ch04,57605468,57610119,Pumilio family protein (AHRD V1 *-*- D8U4V9_VOLCA); contains Interpro domain(s)  IPR011989  Armadillo-like helical ,AT1G78160.1 ,APUM7 | APUM7 (Arabidopsis Pumilio 7); RNA binding / binding | chr1:29407900-29410184 FORWARD, 428 bits (1101), e-120, 199/319 (62%)
Solyc01g106360.2.1,-0.43995026,5.628680733,0.000300383,0.014910082,SL2.40ch01,86051299,86059178,Glutamyl-tRNA(Gln) amidotransferase subunit A (AHRD V1 ***- C5FFK2_NANOT); contains Interpro domain(s)  IPR000120  Amidase signature enzyme ,AT5G64440.1 ,AtFAAH | AtFAAH (Arabidopsis thaliana fatty acid amide hydrolase); N-(long-chain-acyl)ethanolamine deacylase/ amidase | chr5:25766229-25770260 FORWARD, 857 bits (2213),0, 408/608 (67%)
Solyc04g078610.2.1,-0.428362927,6.046835877,0.000304266,0.015029531,SL2.40ch04,60877592,60888302,"Kinesin-like protein (AHRD V1 ***- Q8GS71_ARATH); contains Interpro domain(s)  IPR001752  Kinesin, motor region ",AT5G47820.2 ,FRA1 | FRA1 (FRAGILE FIBER 1); microtubule motor | chr5:19366505-19372229 FORWARD, 1627 bits (4214),0, 803/1039 (77%)
Solyc02g062760.2.1,1.537857991,2.009379999,0.000304819,0.015029531,SL2.40ch02,29117051,29118046,"GATA transcription factor 19 (AHRD V1 *-** B6TS85_MAIZE); contains Interpro domain(s)  IPR000679  Zinc finger, GATA-type ",AT3G50870.1 ,MNP | MNP (MONOPOLE); transcription factor | chr3:18911112-18912369 FORWARD, 148 bits (373),4.00E-36, 96/224 (42%)
Solyc10g006030.2.1,-0.513668346,6.010220212,0.00030669,0.015029531,SL2.40ch10,779582,782983,"30S ribosomal protein S10-like (AHRD V1 ***- A1YMX4_BRACM); contains Interpro domain(s)  IPR005731  Ribosomal protein S10, bacterial ",AT3G13120.1 ,"30S ribosomal protein S10, chloroplast, putative | chr3:4220310-4221526 REVERSE", 230 bits (586),4.00E-61, 129/191 (67%)
Solyc01g107020.2.1,1.211506811,1.938401156,0.000307482,0.015029531,SL2.40ch01,86462814,86464069,Predicted DNA damage inducible protein (ISS) (AHRD V1 **-- Q00VZ6_OSTTA),.,No significant hit found,.,.,.
Solyc09g011640.2.1,2.037121257,1.267229604,0.000307668,0.015029531,SL2.40ch09,4893328,4894820,"Glutathione S-transferase-like protein (AHRD V1 **** A8DUB0_SOLLC); contains Interpro domain(s)  IPR004046  Glutathione S-transferase, C-terminal ",AT3G09270.1 ,ATGSTU8 | ATGSTU8 (GLUTATHIONE S-TRANSFERASE TAU 8); glutathione transferase | chr3:2848407-2849226 REVERSE, 220 bits (561),4.00E-58, 109/218 (50%)
Solyc06g075690.2.1,0.975334327,3.053395203,0.000308025,0.015029531,SL2.40ch06,43427533,43430452,Auxin-regulated protein (AHRD V1 ***- Q945F5_SOLLC); contains Interpro domain(s)  IPR010369  Protein of unknown function DUF966 ,AT5G59790.1 ,unknown protein | chr5:24090950-24092804 FORWARD, 363 bits (932), e-100, 235/421 (55%)
Solyc03g114780.2.1,-0.64207471,4.442518642,0.000312362,0.015180323,SL2.40ch03,58720409,58734492,"Predicted ATP-dependent RNA helicase (AHRD V1 **** Q2U083_ASPOR); contains Interpro domain(s)  IPR011545  DNA/RNA helicase, DEAD/DEAH box type, N-terminal ",AT5G08110.1 ,"DEAD/DEAH box helicase, putative | chr5:2594970-2600114 REVERSE", 718 bits (1853),0, 342/563 (60%)
Solyc07g066350.1.1,-0.391443681,6.517236282,0.000312878,0.015180323,SL2.40ch07,65045913,65047115,Unknown Protein (AHRD V1),AT1G56020.1 ,unknown protein | chr1:20952216-20953412 FORWARD, 255 bits (651),4.00E-68, 203/427 (47%)
Solyc04g055170.2.1,0.324878683,6.879637636,0.000315171,0.01521614,SL2.40ch04,52933311,52937146,"Annexin 2 (AHRD V1 ***- A9X4R2_BRAJU); contains Interpro domain(s)  IPR009118  Annexin, type plant ",AT5G65020.1 ,ANNAT2 | ANNAT2 (Annexin Arabidopsis 2); calcium ion binding / calcium-dependent phospholipid binding | chr5:25973915-25975554 FORWARD, 474 bits (1219), e-134, 225/317 (70%)
Solyc05g050630.2.1,-0.531022754,5.855508701,0.000315604,0.01521614,SL2.40ch05,59912099,59932213,Protein TIF31 homolog (AHRD V1 *--- TIF31_ASPOR); contains Interpro domain(s)  IPR011990  Tetratricopeptide-like helical ,AT1G01320.1 ,tetratricopeptide repeat (TPR)-containing protein | chr1:121582-130099 REVERSE, 1716 bits (4443),0, 912/1526 (59%)
Solyc02g092370.1.1,-0.753554546,6.67741247,0.000316267,0.01521614,SL2.40ch02,48034737,48036260,GRAS family transcription factor (AHRD V1 **-- B9NAS9_POPTR); contains Interpro domain(s)  IPR005202  GRAS transcription factor ,AT4G37650.1 ,"SHR, SGR7 | SHR (SHORT ROOT); protein binding / sequence-specific DNA binding / transcription factor | chr4:17691871-17693466 FORWARD", 592 bits (1526), e-169, 328/539 (60%)
Solyc09g090680.2.1,0.407623999,6.843616481,0.000326467,0.015663134,SL2.40ch09,65477278,65479423,Cysteine-rich repeat secretory protein 3 (AHRD V1 ***- CRR3_ARATH); contains Interpro domain(s)  IPR002902  Protein of unknown function DUF26 ,AT1G04520.1 ,PDLP2 | PDLP2 (PLASMODESMATA-LOCATED PROTEIN 2) | chr1:1231852-1233787 FORWARD, 366 bits (939), e-101, 194/288 (67%)
Solyc01g096260.2.1,-0.858107724,3.787762344,0.00032775,0.015681029,SL2.40ch01,79100455,79102074,Unknown Protein (AHRD V1),AT2G46640.2 ,unknown protein | chr2:19148792-19150751 FORWARD, 65.1 bits (157),4.00E-11, 76/285 (26%)
Solyc06g072290.2.1,-0.600516872,5.840644859,0.000339188,0.016140623,SL2.40ch06,40958256,40960367,Protein Kinase interacting protein (AHRD V1 ***- B6TI58_MAIZE); contains Interpro domain(s)  IPR011684  KIP1-like ,AT1G48405.1 ,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; CONTAINS InterPro DOMAIN/s: KIP1-like (InterPro:IPR011684); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G17680.1); Has 119 Blast hits to 117 proteins in 34 species: Archae - 0; Bacteria - 22; Metazoa - 7; Fungi - 8; Plants - 57; Viruses - 0; Other Eukaryotes - 25 (source: NCBI BLink). | chr1:17884645-17885614 REVERSE, 116 bits (291),2.00E-26, 83/252 (32%)
Solyc12g008420.1.1,0.360847752,6.998781998,0.00033923,0.016140623,SL2.40ch12,1856462,1858737,"RNA-dependent RNA polymerase family protein (AHRD V1 ***- D7L6F2_ARALY); contains Interpro domain(s)  IPR007855  RNA-dependent RNA polymerase, eukaryotic-type ",AT2G19930.1 ,RNA-dependent RNA polymerase family protein | chr2:8607533-8612441 REVERSE, 187 bits (475),6.00E-48, 106/240 (44%)
Solyc02g077950.1.1,-0.511754009,5.178898346,0.000346538,0.016442899,SL2.40ch02,37348726,37349865,"Dof zinc finger protein (AHRD V1 ***- Q0PY33_SOLLC); contains Interpro domain(s)  IPR003851  Zinc finger, Dof-type ",AT1G28310.2 ,Dof-type zinc finger domain-containing protein | chr1:9912534-9913685 REVERSE, 136 bits (343),2.00E-32, 74/127 (58%)
Solyc09g074340.2.1,0.947843555,3.919725238,0.000355255,0.016810207,SL2.40ch09,61638622,61643762,Rho GTPase activating protein 2 (AHRD V1 *-*- Q6UQ72_ORYSJ); contains Interpro domain(s)  IPR000198  RhoGAP ,AT4G03100.1 ,"rac GTPase activating protein, putative | chr4:1374361-1375913 FORWARD", 487 bits (1253), e-138, 248/357 (69%)
Solyc06g083910.2.1,2.519893043,0.513284457,0.000357007,0.016846835,SL2.40ch06,45501936,45503664,Flavonol synthase (AHRD V1 **-* Q07DT9_FRAAN); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase ,AT4G10500.1 ,"oxidoreductase, 2OG-Fe(II) oxygenase family protein | chr4:6491089-6492342 FORWARD", 265 bits (677),3.00E-71, 138/338 (40%)
Solyc08g007570.2.1,0.787714987,3.231034445,0.000364152,0.017137041,SL2.40ch08,2122122,2123598,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc09g061460.1.1,-0.680372513,4.404311195,0.000365981,0.017176184,SL2.40ch09,54753885,54754777,NAD(P)H-quinone oxidoreductase subunit 2 chloroplastic (AHRD V1 ***- D2KLR3_OLEEU); contains Interpro domain(s)  IPR001750  NADH:ubiquinone/plastoquinone oxidoreductase ,ATCG01250.1 ,NDHB.2 | NADH dehydrogenase ND2 | chrC:141854-143708 FORWARD, 229 bits (583),2.00E-60, 123/182 (67%)
Solyc10g009060.1.1,0.594956107,4.524848772,0.000367221,0.017187528,SL2.40ch10,3091684,3092652,Protein kinase (AHRD V1 ***- Q9FDV6_FAGSY); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,AT3G18750.1 ,"WNK6, ZIK5, ATWNK6 | WNK6 (WITH NO K (=LYSINE) 6); kinase/ protein kinase | chr3:6454307-6456830 REVERSE", 299 bits (765),2.00E-81, 147/280 (52%)
Solyc07g005530.2.1,0.246755145,8.074780975,0.000369348,0.017240258,SL2.40ch07,421123,429027,"Ubiquitin carboxyl-terminal hydrolase (AHRD V1 ***- D7MNY5_ARALY); contains Interpro domain(s)  IPR001394  Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 ",AT5G57990.1 ,UBP23 | UBP23 (UBIQUITIN-SPECIFIC PROTEASE 23); ubiquitin thiolesterase/ ubiquitin-specific protease | chr5:23470218-23473997 REVERSE, 614 bits (1584), e-176, 393/911 (43%)
Solyc01g109110.2.1,1.097155786,2.496051844,0.000371463,0.017287986,SL2.40ch01,87904937,87909600,"Guanine nucleotide-binding protein alpha-1 subunit (AHRD V1 *-*- B6TWS6_MAIZE); contains Interpro domain(s)  IPR001019  Guanine nucleotide binding protein (G-protein), alpha subunit ",AT2G23460.1 ,"XLG1, ATXLG1 | XLG1 (EXTRA-LARGE G-PROTEIN 1); guanyl nucleotide binding / signal transducer | chr2:9995699-9998945 FORWARD", 791 bits (2042),0, 434/893 (48%)
Solyc11g006650.1.1,-0.534408089,6.467094268,0.000372378,0.017287986,SL2.40ch11,1258943,1261938,"Heat shock protein 101 (AHRD V1 *-*- Q3L1D0_VITVI); contains Interpro domain(s)  IPR004176  Clp, N-terminal ",AT3G52490.1 ,heat shock protein-related | chr3:19455850-19458721 REVERSE, 649 bits (1673),0, 394/873 (45%)
Solyc01g007410.2.1,-0.571996353,6.810995988,0.000375841,0.017373306,SL2.40ch01,1861747,1861893,"Cytochrome b559 subunit alpha (AHRD V1 *-*- D4PBC8_PHODC); contains Interpro domain(s)  IPR006217  Photosystem II protein cytochrome b559, alpha subunit ",ATCG00580.1 ,"PSBE | PSII cytochrome b559. There have been many speculations about the function of Cyt b559, but the most favored at present is that it plays a protective role by acting as an electron acceptor or electron donor under conditions when electron flow through PSII is not optimized. | chrC:64071-64322 REVERSE", 142 bits (358),6.00E-35, 69/69 (100%)
Solyc09g089890.1.1,1.844937967,1.465389536,0.000376696,0.017373306,SL2.40ch09,64853281,64854330,"Ring H2 finger protein (AHRD V1 *-*- D9ZHD8_HYPPE); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type ",AT1G04360.1 ,zinc finger (C3HC4-type RING finger) family protein | chr1:1167507-1168652 REVERSE, 301 bits (771),5.00E-82, 182/355 (51%)
Solyc08g076220.2.1,-0.569594311,5.790234818,0.000377242,0.017373306,SL2.40ch08,57405726,57410850,Phosphoribulokinase/uridine kinase (AHRD V1 ***- B7KI62_CYAP7); contains Interpro domain(s)  IPR006083  Phosphoribulokinase/uridine kinase ,AT1G32060.1 ,PRK | PRK (PHOSPHORIBULOKINASE); ATP binding / phosphoribulokinase/ protein binding | chr1:11532668-11534406 FORWARD, 676 bits (1745),0, 329/407 (80%)
Solyc07g063130.2.1,-0.278263491,7.883439617,0.000386433,0.017749127,SL2.40ch07,62922350,62930717,Cell division protein kinase 10 (AHRD V1 *-*- D3TRH8_GLOMM); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,AT1G53050.1 ,protein kinase family protein | chr1:19772574-19775531 FORWARD, 1017 bits (2629),0, 502/703 (71%)
Solyc01g079410.2.1,-0.397071991,6.852215296,0.00038764,0.017757211,SL2.40ch01,70996670,71002457,"SMP-30/Gluconolaconase/LRE domain protein (AHRD V1 *-*- D2QD53_SPILD); contains Interpro domain(s)  IPR011042  Six-bladed beta-propeller, TolB-like ",AT2G16760.1 ,"FUNCTIONS IN: molecular_function unknown; LOCATED IN: endoplasmic reticulum; EXPRESSED IN: 10 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Six-bladed beta-propeller, TolB-like (InterPro:IPR011042); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G47370.1); Has 78 Blast hits to 78 proteins in 24 species: Archae - 0; Bacteria - 32; Metazoa - 0; Fungi - 0; Plants - 42; Viruses - 0; Other Eukaryotes - 4 (source: NCBI BLink). | chr2:7275739-7277122 FORWARD", 390 bits (1002), e-109, 195/332 (58%)
Solyc05g053820.2.1,0.541913466,5.200533764,0.00039055,0.017843077,SL2.40ch05,63001106,63003424,UDP-glucosyltransferase family 1 protein (AHRD V1 **** C6KI44_CITSI); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase ,AT4G14090.1 ,UDP-glucoronosyl/UDP-glucosyl transferase family protein | chr4:8122434-8123804 REVERSE, 356 bits (913),2.00E-98, 187/463 (40%)
Solyc07g051850.2.1,0.364822294,8.13242524,0.000393635,0.017911725,SL2.40ch07,57713505,57718748,Aspartic proteinase (AHRD V1 **-* Q96383_CENCA); contains Interpro domain(s)  IPR001461  Peptidase A1 ,AT1G11910.1 ,aspartyl protease family protein | chr1:4017119-4019874 REVERSE, 762 bits (1967),0, 363/507 (71%)
Solyc09g059570.2.1,0.469516869,5.707184286,0.000394133,0.017911725,SL2.40ch09,50463633,50466385,B-cell receptor-associated protein 31-like containing protein (AHRD V1 ***- B6U1I6_MAIZE); contains Interpro domain(s)  IPR008417  B-cell receptor-associated 31-like ,AT5G48660.1 ,"FUNCTIONS IN: molecular_function unknown; INVOLVED IN: intracellular protein transport; LOCATED IN: endomembrane system, integral to membrane, endoplasmic reticulum; CONTAINS InterPro DOMAIN/s: B-cell receptor-associated 31-like (InterPro:IPR008417); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G07190.1); Has 2128 Blast hits to 1846 proteins in 298 species: Archae - 50; Bacteria - 292; Metazoa - 902; Fungi - 143; Plants - 114; Viruses - 11; Other Eukaryotes - 616 (source: NCBI BLink). | chr5:19736986-19738327 FORWARD", 252 bits (643),1.00E-67, 153/215 (71%)
Solyc12g036720.1.1,-0.604495276,5.928012733,0.000398157,0.018018782,SL2.40ch12,32288754,32289938,Maturase (Fragment) (AHRD V1 *-*- O79414_SOLTU); contains Interpro domain(s)  IPR008543  Chloroplast Ycf2 ,ATMG00520.1 ,MATR | hypothetical protein | chrM:144294-146312 REVERSE, 139 bits (349),8.00E-34, 66/71 (92%)
Solyc05g052180.2.1,0.434178626,6.086001556,0.000398581,0.018018782,SL2.40ch05,61608062,61610738,Translation initiation factor 1a (AHRD V1 *--- Q1HQA3_BOMMO); contains Interpro domain(s)  IPR001253  Translation initiation factor 1A (eIF-1A) ,AT2G40780.1 ,RNA binding / translation initiation factor | chr2:17021875-17022748 FORWARD, 207 bits (527),2.00E-54, 101/168 (60%)
Solyc06g074910.2.1,-0.923396756,3.832087954,0.000399857,0.018029133,SL2.40ch06,42804036,42806196,MYB transcription factor (AHRD V1 *--- Q9T066_ARATH); contains Interpro domain(s)  IPR015495  Myb transcription factor ,AT5G57620.1 ,"MYB36, AtMYB36 | MYB36 (myb domain protein 36); DNA binding / transcription factor | chr5:23334904-23336388 FORWARD", 237 bits (604),8.00E-63, 105/119 (88%)
Solyc06g069790.2.1,-0.540594349,5.895561299,0.000402937,0.018104663,SL2.40ch06,39850050,39850860,Gibberellin-regulated protein (AHRD V1 **-- B4UW77_ARAHY); contains Interpro domain(s)  IPR003854  Gibberellin regulated protein ,AT1G74670.1 ,"gibberellin-responsive protein, putative | chr1:28053378-28053893 FORWARD", 139 bits (349),5.00E-34, 67/104 (64%)
Solyc05g009990.2.1,-0.580024423,6.519440481,0.000403634,0.018104663,SL2.40ch05,4190580,4192782,"LRR receptor-like serine/threonine-protein kinase, RLP",AT1G68780.1 ,leucine-rich repeat family protein | chr1:25831881-25833335 REVERSE, 441 bits (1133), e-124, 230/404 (56%)
Solyc01g102980.2.1,0.612228359,6.988412913,0.000407397,0.018172781,SL2.40ch01,83400300,83402189,Zinc finger-homeodomain protein 1 (Fragment) (AHRD V1 **-- B0LK17_YUCFI); contains Interpro domain(s)  IPR006456  ZF-HD homeobox protein Cys/His-rich dimerisation region ,AT1G14440.2 ,AtHB31 | AtHB31 (ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 31); DNA binding / transcription factor | chr1:4939076-4940014 REVERSE, 233 bits (593),2.00E-61, 148/319 (46%)
Solyc08g080170.2.1,-0.527417314,6.672099903,0.000408306,0.018172781,SL2.40ch08,60656531,60661072,"Hydroxymethylglutaryl-CoA synthase (AHRD V1 **** A9ZMZ7_HEVBR); contains Interpro domain(s)  IPR010122  Hydroxymethylglutaryl-CoA synthase, eukaryotic ",AT4G11820.2 ,MVA1 | MVA1; acetyl-CoA C-acetyltransferase/ hydroxymethylglutaryl-CoA synthase | chr4:7109124-7111901 REVERSE, 798 bits (2060),0, 371/459 (80%)
Solyc12g062450.1.1,-0.743306886,6.805127085,0.000408318,0.018172781,SL2.40ch12,50652690,50653684,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc09g009890.2.1,-0.430469212,8.42182784,0.000415188,0.01843093,SL2.40ch09,3372431,3376679,"Polyadenylate-binding protein (AHRD V1 *--- B8N3I8_ASPFN); contains Interpro domain(s)  IPR012677  Nucleotide-binding, alpha-beta plait ",AT3G52660.2 ,RNA recognition motif (RRM)-containing protein | chr3:19522598-19524735 FORWARD, 481 bits (1238), e-136, 239/399 (59%)
Solyc01g008000.2.1,0.358284011,7.091593632,0.000426083,0.018865929,SL2.40ch01,2175122,2179207,ADP-ribosylation factor (AHRD V1 ***- Q76ME3_WHEAT); contains Interpro domain(s)  IPR006688  ADP-ribosylation factor ,AT1G10630.1 ,ATARFA1F | ATARFA1F (ARABIDOPSIS THALIANA ADP-RIBOSYLATION FACTOR A1F); GTP binding / copper ion binding / phospholipase activator/ protein binding | chr1:3513189-3514230 REVERSE, 366 bits (939), e-102, 176/181 (97%)
Solyc09g064170.1.1,-0.702930301,7.042665066,0.000427616,0.018885289,SL2.40ch09,56895755,56895937,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc08g074570.1.1,-0.376496405,7.355187468,0.000429717,0.018929528,SL2.40ch08,55846727,55848184,G patch domain and KOW motifs-containing protein (AHRD V1 *--- GPKOW_XENLA); contains Interpro domain(s)  IPR005824  KOW ,AT1G33520.1 ,"MOS2 | MOS2 (modifier of snc1, 2); RNA binding / nucleic acid binding / protein binding | chr1:12157488-12158876 REVERSE", 379 bits (974), e-105, 230/489 (47%)
Solyc11g066470.1.1,0.485495233,5.84982005,0.000436784,0.019191751,SL2.40ch11,49298113,49298334,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc09g018750.2.1,-0.250214725,8.813115602,0.00043831,0.019209806,SL2.40ch09,16842932,16844969,"Inosine-5&apos-monophosphate dehydrogenase (AHRD V1 ***- Q0KFK7_RALEH); contains Interpro domain(s)  IPR000644  Cystathionine beta-synthase, core ",AT5G10860.1 ,CBS domain-containing protein | chr5:3429173-3430142 REVERSE, 313 bits (801),6.00E-86, 155/199 (77%)
Solyc06g071020.2.1,-1.306484934,1.887814147,0.000447008,0.019541267,SL2.40ch06,40014723,40016742,Pectate lyase (AHRD V1 **** B6TSP4_MAIZE); contains Interpro domain(s)  IPR002022  Pectate lyase/Amb allergen ,AT3G01270.1 ,pectate lyase family protein | chr3:82892-84720 REVERSE, 521 bits (1341), e-148, 253/463 (54%)
Solyc10g076510.1.1,0.897943199,4.605809723,0.00045715,0.019877666,SL2.40ch10,58830186,58832733,Pyruvate decarboxylase (AHRD V1 **** B0ZS79_PRUAR); contains Interpro domain(s)  IPR012110  Pyruvate decarboxylase/indolepyruvate decarboxylase ,AT4G33070.1 ,"pyruvate decarboxylase, putative | chr4:15952519-15954676 REVERSE", 1071 bits (2769),0, 514/608 (84%)
Solyc03g025480.2.1,0.642569621,4.736085344,0.000458208,0.019877666,SL2.40ch03,7264938,7268774,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc05g017860.2.1,0.408260497,6.433057603,0.000458661,0.019877666,SL2.40ch05,18730429,18754023,Protein VAC14 homolog (AHRD V1 **-- VAC14_XENLA); contains Interpro domain(s)  IPR011989  Armadillo-like helical ,AT2G01690.1 ,binding | chr2:309144-313499 REVERSE, 1135 bits (2935),0, 569/753 (75%)
Solyc06g024350.1.1,-1.008736883,2.763435938,0.000459319,0.019877666,SL2.40ch06,15074662,15074838,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc07g043390.2.1,-0.3358361,9.738198317,0.000461986,0.019910604,SL2.40ch07,54430095,54433036,Cellulose synthase family protein expressed (AHRD V1 **** Q339N6_ORYSJ); contains Interpro domain(s)  IPR005150  Cellulose synthase ,AT4G24010.1 ,"ATCSLG1, CSLG1 | ATCSLG1; cellulose synthase/ transferase/ transferase, transferring glycosyl groups | chr4:12466391-12469760 FORWARD", 278 bits (711),6.00E-75, 154/443 (34%)
Solyc03g118370.2.1,0.766766141,3.699565372,0.000462392,0.019910604,SL2.40ch03,61318884,61322274,"Serine carboxypeptidase K10B2.2 (AHRD V1 **** B6TKD2_MAIZE); contains Interpro domain(s)  IPR001563  Peptidase S10, serine carboxypeptidase ",AT1G28110.2 ,SCPL45 | SCPL45 (SERINE CARBOXYPEPTIDASE-LIKE 45 PRECURSOR); serine-type carboxypeptidase | chr1:9804153-9806832 REVERSE, 727 bits (1876),0, 331/434 (76%)
Solyc10g076400.1.1,2.203668773,0.935949911,0.000468849,0.020122548,SL2.40ch10,58690371,58692715,"Os03g0291800 protein (Fragment) (AHRD V1 ***- Q0DSS4_ORYSJ); contains Interpro domain(s)  IPR004253  Protein of unknown function DUF231, plant ",AT2G38320.1 ,unknown protein | chr2:16055488-16057874 FORWARD, 439 bits (1130), e-123, 204/400 (51%)
Solyc03g033580.2.1,0.43305213,6.192451577,0.000470564,0.020122548,SL2.40ch03,9416207,9422943,Calcium-dependent protein kinase CPK1 adapter protein 2-like (AHRD V1 ***- Q5Z9P7_ORYSJ),AT2G17990.1 ,LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: kinectin-related (TAIR:AT5G66250.3); Has 6110 Blast hits to 4860 proteins in 486 species: Archae - 160; Bacteria - 541; Metazoa - 3188; Fungi - 404; Plants - 270; Viruses - 41; Other Eukaryotes - 1506 (source: NCBI BLink). | chr2:7827480-7828596 FORWARD, 365 bits (936), e-101, 192/323 (59%)
